"Evaluation_Model","Evaluation_Model.Commit","Evaluation_Model.Datetime","Evaluation_Model.ProductionClass","Evaluation_Model.ChangedProductionMethods","Evaluation_Model.TestClass","Evaluation_Model.ChangedTestMethods","Evaluation_Model.ChangedAndCalled","Evaluation_Model.CalledTestMethods","Evaluation_Model.RecomendedTests","Evaluation_Model.RecomendedIndex"
"BusinessLogic.Evaluation_Model","4949adec480ddccdee4f7d09231e85e84fec00a1","12-12-2023 07:55:33 AM -05:00","ReflectionDiffBuilder","public DiffResult<T> build()","ReflectionDiffBuilderTest","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullExcludedFieldNamesCtor()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNamesCtor()","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()","1, 2"
"BusinessLogic.Evaluation_Model","faa1a1eea544dbdf5c2fa88c622e6e3eedd09837","11-12-2023 12:46:19 PM -05:00","DiffBuilder","public T getLeft()","DiffBuilderTest","public void testBoolean()
public void testByte()","public void testBoolean()
public void testByte()","public void testBoolean()
public void testByte()","public void testBoolean()
public void testByte()","1, 2"
"BusinessLogic.Evaluation_Model","faa1a1eea544dbdf5c2fa88c622e6e3eedd09837","11-12-2023 12:46:19 PM -05:00","DiffBuilder","public T getRight()","DiffBuilderTest","public void testBoolean()
public void testByte()","public void testBoolean()
public void testByte()","public void testBoolean()
public void testByte()","public void testBoolean()
public void testByte()","1, 2"
"BusinessLogic.Evaluation_Model","3935fa2f193a0cc652300677beeb61b535eedf4c","17-10-2023 11:16:29 AM -04:00","ExceptionUtils","public static T asRuntimeException(final Throwable throwable)","ExceptionUtilsTest","private static int throwsCheckedException()
public void testAsRuntimeException()
public void testRethrow()","private static int throwsCheckedException()
public void testAsRuntimeException()","private static int throwsCheckedException()
public void testAsRuntimeException()","private static int throwsCheckedException()
public void testAsRuntimeException()","1, 2"
"BusinessLogic.Evaluation_Model","3935fa2f193a0cc652300677beeb61b535eedf4c","17-10-2023 11:16:29 AM -04:00","ExceptionUtils","public static T rethrow(final Throwable throwable)","ExceptionUtilsTest","private static int throwsCheckedException()
public void testAsRuntimeException()
public void testRethrow()","public void testRethrow()","public void testRethrow()","public void testRethrow()","1"
"BusinessLogic.Evaluation_Model","02132ee97bf0d57c85aa45bb64d6eb8dfbe0cf5e","14-10-2023 01:00:56 PM +01:00","AbstractConcurrentInitializer","protected abstract boolean isInitialized()","AbstractConcurrentInitializerTest","public void testisInitialized() throws Throwable","public void testisInitialized() throws Throwable","public void testisInitialized() throws Throwable","public void testisInitialized() throws Throwable","1"
"BusinessLogic.Evaluation_Model","02132ee97bf0d57c85aa45bb64d6eb8dfbe0cf5e","14-10-2023 01:00:56 PM +01:00","AtomicInitializer","public T get() throws ConcurrentException","AtomicInitializerTest","protected Object initialize()
public void testGetThatReturnsNullFirstTime() throws ConcurrentException","public void testGetThatReturnsNullFirstTime() throws ConcurrentException","public void testGetThatReturnsNullFirstTime() throws ConcurrentException","public void testGetThatReturnsNullFirstTime() throws ConcurrentException","1"
"BusinessLogic.Evaluation_Model","02132ee97bf0d57c85aa45bb64d6eb8dfbe0cf5e","14-10-2023 01:00:56 PM +01:00","AtomicSafeInitializer","public final T get() throws ConcurrentException","AtomicSafeInitializerTest","protected Object initialize()
public void testGetThatReturnsNullFirstTime() throws ConcurrentException","public void testGetThatReturnsNullFirstTime() throws ConcurrentException","public void testGetThatReturnsNullFirstTime() throws ConcurrentException","public void testGetThatReturnsNullFirstTime() throws ConcurrentException
public void run()","1"
"BusinessLogic.Evaluation_Model","02132ee97bf0d57c85aa45bb64d6eb8dfbe0cf5e","14-10-2023 01:00:56 PM +01:00","BackgroundInitializer","public synchronized boolean isInitialized()","BackgroundInitializerTest","public void testIsInitialized() throws ConcurrentException
public void enableLatch()
public void releaseLatch()
protected Integer initialize() throws Exception","public void testIsInitialized() throws ConcurrentException","public void testIsInitialized() throws ConcurrentException","public void testIsInitialized() throws ConcurrentException
public void testIsInitialized() throws ConcurrentException, InterruptedException","1"
"BusinessLogic.Evaluation_Model","02132ee97bf0d57c85aa45bb64d6eb8dfbe0cf5e","14-10-2023 01:00:56 PM +01:00","BackgroundInitializer","public synchronized boolean isInitialized()","MultiBackgroundInitializerTest","public void testIsInitialized() throws ConcurrentException, InterruptedException
public void enableLatch()
public void releaseLatch()
protected Integer initialize() throws Exception","public void testIsInitialized() throws ConcurrentException, InterruptedException","public void testIsInitialized() throws ConcurrentException, InterruptedException","public void testIsInitialized() throws ConcurrentException
public void testIsInitialized() throws ConcurrentException, InterruptedException","2"
"BusinessLogic.Evaluation_Model","02132ee97bf0d57c85aa45bb64d6eb8dfbe0cf5e","14-10-2023 01:00:56 PM +01:00","ConstantInitializer","public boolean isInitialized()","ConstantInitializerTest","public void testisInitialized()","public void testisInitialized()","public void testisInitialized()","public void testisInitialized()","1"
"BusinessLogic.Evaluation_Model","02132ee97bf0d57c85aa45bb64d6eb8dfbe0cf5e","14-10-2023 01:00:56 PM +01:00","MultiBackgroundInitializer","public boolean isInitialized()","MultiBackgroundInitializerTest","public void testIsInitialized() throws ConcurrentException, InterruptedException
public void enableLatch()
public void releaseLatch()
protected Integer initialize() throws Exception","public void testIsInitialized() throws ConcurrentException, InterruptedException","public void testIsInitialized() throws ConcurrentException, InterruptedException","public void testIsInitialized() throws ConcurrentException, InterruptedException","1"
"BusinessLogic.Evaluation_Model","fd6fbe280d90338f640c5acc92bec12e36f6d6c3","20-09-2023 09:59:16 AM -04:00","ClassLoaderUtils","public static String toString(final ClassLoader classLoader)","ClassLoaderUtilsTest","public void testToString_ClassLoader() throws IOException
public void testToString_URLClassLoader() throws IOException","public void testToString_ClassLoader() throws IOException","public void testToString_ClassLoader() throws IOException","public void testToString_ClassLoader() throws IOException","1"
"BusinessLogic.Evaluation_Model","fd6fbe280d90338f640c5acc92bec12e36f6d6c3","20-09-2023 09:59:16 AM -04:00","ClassLoaderUtils","public static String toString(final URLClassLoader classLoader)","ClassLoaderUtilsTest","public void testToString_ClassLoader() throws IOException
public void testToString_URLClassLoader() throws IOException","public void testToString_URLClassLoader() throws IOException","public void testToString_URLClassLoader() throws IOException","public void testToString_URLClassLoader() throws IOException","1"
"BusinessLogic.Evaluation_Model","85959a457076b740380c4d6f3d83098edd17a9e7","09-08-2023 11:33:31 AM -04:00","DurationFormatUtils"," static Token[] lexx(final String format)","DurationFormatUtilsTest","public void testLexx()
public void testUnmatchedOptionalTokens()
public void testOptionalLiteralSpecialCharacters()
public void testAlternatingLiteralOptionals()
public void testLiteralPrefixOptionalToken()
public void testEmptyOptionals()
public void testMultipleOptionalBlocks()
public void testOptionalToken()
private DurationFormatUtils.Token createTokenWithCount(final Object value, final int count)","public void testLexx()","public void testLexx()","public void testLexx()
public void testLANG981()","1"
"BusinessLogic.Evaluation_Model","471e8da5979aa853216eef8d8e1860b3e81852b3","05-07-2023 09:42:40 AM +02:00","JavaVersion"," static JavaVersion get(final String versionStr)","JavaVersionTest","public void testGetJavaVersion()","public void testGetJavaVersion()","public void testGetJavaVersion()","public void testGetJavaVersion()","1"
"BusinessLogic.Evaluation_Model","f51299ced4fd40b44a3f6eca9ae528e818558205","04-06-2023 08:30:40 PM +02:00","ReflectionDiffBuilder","public String[] getExcludeFieldNames()","ReflectionDiffBuilderTest","public DiffResult diff(final TypeTestClass obj)
public void test_no_differences_excluded_field()
public void test_no_differences_diff_exclude_annotated_field()
public void test_no_differences_diff_exluded_field_and_exclude_annotated_field()
public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()","1, 2"
"BusinessLogic.Evaluation_Model","95a0e2b09bc4a3a363e5ab1c853d002fb74ad7af","11-02-2023 09:49:41 AM -05:00","StrLookup","public String lookup(final String key)","StrLookupTest","public void testSystemPropertiesLookup()","public void testSystemPropertiesLookup()","public void testSystemPropertiesLookup()","public void testSystemPropertiesLookup()
public void testSystemPropertiesLookupReplacedProperties()
public void testSystemPropertiesLookupUpdatedProperty()
public void testMapLookup()
public void testSystemProperiesLookup()","1"
"BusinessLogic.Evaluation_Model","57ddce119516f451168f4489f55f399fd9309b53","17-10-2022 08:08:59 AM -04:00","Range","public static Range<T> between(final T fromInclusive, final T toInclusive)","RangeTest","public void setUp()
public void testBetweenWithCompare()
public void testOfWithCompare()","public void testBetweenWithCompare()","public void testBetweenWithCompare()","public void testBetweenWithCompare()
public void testConstructorSignatureWithAbstractComparableClasses()
public void testIsOverlappedBy()
public void testComparableConstructors()","1"
"BusinessLogic.Evaluation_Model","57ddce119516f451168f4489f55f399fd9309b53","17-10-2022 08:08:59 AM -04:00","Range","public static Range<T> between(final T fromInclusive, final T toInclusive, final Comparator<T> comparator)","RangeTest","public void setUp()
public void testBetweenWithCompare()
public void testOfWithCompare()","public void testBetweenWithCompare()","public void testBetweenWithCompare()","public void testBetweenWithCompare()","1"
"BusinessLogic.Evaluation_Model","57ddce119516f451168f4489f55f399fd9309b53","17-10-2022 08:08:59 AM -04:00","Range","public static Range<T> of(final T fromInclusive, final T toInclusive)","RangeTest","public void setUp()
public void testBetweenWithCompare()
public void testOfWithCompare()","public void setUp()
public void testOfWithCompare()","public void setUp()
public void testOfWithCompare()","public void setUp()
public void testOfWithCompare()","1, 2"
"BusinessLogic.Evaluation_Model","57ddce119516f451168f4489f55f399fd9309b53","17-10-2022 08:08:59 AM -04:00","Range","public static Range<T> of(final T fromInclusive, final T toInclusive, final Comparator<T> comparator)","RangeTest","public void setUp()
public void testBetweenWithCompare()
public void testOfWithCompare()","public void testOfWithCompare()","public void testOfWithCompare()","public void testOfWithCompare()","1"
"BusinessLogic.Evaluation_Model","45acc1c97094cd68928f634ce4896e4b05ee92ac","16-09-2022 12:47:41 AM +05:30","ClassUtils","public static String getShortCanonicalName(final Class<?> cls)","ClassUtilsTest","public void test_getShortCanonicalName_Class()
public void test_getShortCanonicalName_Object()","public void test_getShortCanonicalName_Class()","public void test_getShortCanonicalName_Class()","public void test_getShortCanonicalName_Class()","1"
"BusinessLogic.Evaluation_Model","45acc1c97094cd68928f634ce4896e4b05ee92ac","16-09-2022 12:47:41 AM +05:30","ClassUtils","public static String getShortCanonicalName(final Object object, final String valueIfNull)","ClassUtilsTest","public void test_getShortCanonicalName_Class()
public void test_getShortCanonicalName_Object()","public void test_getShortCanonicalName_Object()","public void test_getShortCanonicalName_Object()","public void test_getShortCanonicalName_Object()","1"
"BusinessLogic.Evaluation_Model","49ef6b530c89c5f7181aa3fbdb957155a6802b05","26-08-2022 02:57:21 PM -04:00","HashCodeBuilder","public boolean equals(final Object obj)","HashCodeBuilderTest","public int hashCode()
public boolean equals(final Object o)
public int hashCode()
public void testEquals()","public boolean equals(final Object o)","public boolean equals(final Object o)","public boolean equals(final Object o)","1"
"BusinessLogic.Evaluation_Model","11b1bc19ab360afce8a48167002bfcb747faeb68","21-08-2022 02:47:13 PM -04:00","ThreadUtils","public static Collection<ThreadGroup> findThreadGroups(final Predicate<ThreadGroup> predicate)","ThreadUtilsTest","public void testThreadGroupsNullParent()
public void testThreadGroupsNullPredicate()
public void testThreadsNullPredicate()","public void testThreadGroupsNullPredicate()","public void testThreadGroupsNullPredicate()","public void testThreadGroupsNullPredicate()","1"
"BusinessLogic.Evaluation_Model","11b1bc19ab360afce8a48167002bfcb747faeb68","21-08-2022 02:47:13 PM -04:00","ThreadUtils","public static Collection<ThreadGroup> findThreadGroups(final ThreadGroup threadGroup, final boolean recurse, final ThreadGroupPredicate predicate)","ThreadUtilsTest","public void testThreadGroupsNullParent()
public void testThreadGroupsNullPredicate()
public void testThreadsNullPredicate()","public void testThreadGroupsNullParent()","public void testThreadGroupsNullParent()","public void testThreadGroupsNullParent()","1"
"BusinessLogic.Evaluation_Model","11b1bc19ab360afce8a48167002bfcb747faeb68","21-08-2022 02:47:13 PM -04:00","ThreadUtils","public static Collection<ThreadGroup> findThreadGroups(final ThreadGroupPredicate predicate)","ThreadUtilsTest","public void testThreadGroupsNullParent()
public void testThreadGroupsNullPredicate()
public void testThreadsNullPredicate()","public void testThreadGroupsNullPredicate()","public void testThreadGroupsNullPredicate()","public void testThreadGroupsNullPredicate()","1"
"BusinessLogic.Evaluation_Model","11b1bc19ab360afce8a48167002bfcb747faeb68","21-08-2022 02:47:13 PM -04:00","ThreadUtils","public static Collection<Thread> findThreads(final Predicate<Thread> predicate)","ThreadUtilsTest","public void testThreadGroupsNullParent()
public void testThreadGroupsNullPredicate()
public void testThreadsNullPredicate()","public void testThreadsNullPredicate()","public void testThreadsNullPredicate()","public void testThreadsNullPredicate()","1"
"BusinessLogic.Evaluation_Model","11b1bc19ab360afce8a48167002bfcb747faeb68","21-08-2022 02:47:13 PM -04:00","ThreadUtils","public static Collection<Thread> findThreads(final ThreadPredicate predicate)","ThreadUtilsTest","public void testThreadGroupsNullParent()
public void testThreadGroupsNullPredicate()
public void testThreadsNullPredicate()","public void testThreadsNullPredicate()","public void testThreadsNullPredicate()","public void testThreadsNullPredicate()","1"
"BusinessLogic.Evaluation_Model","cf8b7edbe16a840478f81abc93d45ca68a48d80d","21-08-2022 02:31:38 PM -04:00","DurationUtils","public static int getNanosOfMiili(final Duration duration)","DurationUtilsTest","public void testGetNanosOfMilli()
public void testGetNanosOfMiili()","public void testGetNanosOfMiili()","public void testGetNanosOfMiili()","public void testGetNanosOfMiili()
public void testGetNanosOfMilli()","1"
"BusinessLogic.Evaluation_Model","cf8b7edbe16a840478f81abc93d45ca68a48d80d","21-08-2022 02:31:38 PM -04:00","DurationUtils","public static int getNanosOfMilli(final Duration duration)","DurationUtilsTest","public void testGetNanosOfMilli()
public void testGetNanosOfMiili()","public void testGetNanosOfMilli()","public void testGetNanosOfMilli()","public void testGetNanosOfMilli()","1"
"BusinessLogic.Evaluation_Model","2f153733c7dfe33f38438be3fd3269e0c3ab7005","21-08-2022 08:29:49 PM +02:00","DurationUtils","public static int getNanosOfMiili(final Duration duration)","DurationUtilsTest","public void testGetNanosOfMilli()
public void testGetNanosOfMiili()","public void testGetNanosOfMiili()","public void testGetNanosOfMiili()","public void testGetNanosOfMiili()
public void testGetNanosOfMilli()","1"
"BusinessLogic.Evaluation_Model","2f153733c7dfe33f38438be3fd3269e0c3ab7005","21-08-2022 08:29:49 PM +02:00","DurationUtils","public static int getNanosOfMilli(final Duration duration)","DurationUtilsTest","public void testGetNanosOfMilli()
public void testGetNanosOfMiili()","public void testGetNanosOfMilli()","public void testGetNanosOfMilli()","public void testGetNanosOfMilli()","1"
"BusinessLogic.Evaluation_Model","eb07b19f4a23d443a1fa1005c344d78f79c0f110","21-08-2022 09:35:49 AM -04:00","ObjectUtils","public static boolean isEmpty(final Object object)","ObjectUtilsTest","public void testIsEmpty()
public void testIsNotEmpty()","public void testIsEmpty()","public void testIsEmpty()","public void testIsEmpty()","1"
"BusinessLogic.Evaluation_Model","ec93f3b7f59a6f6bc489bc3ffda932a6ca9fe6ca","12-08-2022 02:30:09 PM -04:00","StringUtils","public static String join(final Iterator<?> iterator, final char separator)","StringUtilsTest","public void testJoin_IteratorChar()","public void testJoin_IteratorChar()","public void testJoin_IteratorChar()","public void testJoin_IteratorChar()","1"
"BusinessLogic.Evaluation_Model","39f08ac62fc4e51b1c5bcc93ae2b12d4033bd05e","12-08-2022 02:14:47 PM -04:00","StringUtils","public static String join(final Iterator<?> iterator, final String separator)","StringUtilsTest","public void testJoin_IteratorString()","public void testJoin_IteratorString()","public void testJoin_IteratorString()","public void testJoin_IteratorString()","1"
"BusinessLogic.Evaluation_Model","152b1777fddc5127e77f9b14637d6abae18eaf05","16-07-2022 11:14:44 AM -04:00","Streams","public static Stream<E> of(final Collection<E> collection)","StreamsTest","public Stream<DynamicTest> simpleStreamFilterFailing()
public Stream<DynamicTest> simpleStreamForEachFailing()
public void testOfCollectionNotNull()
public void testOfCollectionNull()
public void testSimpleStreamFilter()
public void testSimpleStreamForEach()
public void testSimpleStreamMap()
public void testSimpleStreamMapFailing()","public void testOfCollectionNotNull()
public void testOfCollectionNull()","public void testOfCollectionNotNull()
public void testOfCollectionNull()","public void testOfCollectionNotNull()
public void testOfCollectionNull()","1, 2"
"BusinessLogic.Evaluation_Model","fa380309554ce4e0c1efdbec1e3b489444ecbf72","05-07-2022 09:44:44 AM -04:00","StrSubstitutor","public StrSubstitutor setVariablePrefixMatcher(final StrMatcher prefixMatcher)","StrSubstitutorTest","public void testGetSetPrefix()
public void testGetSetSuffix()","public void testGetSetPrefix()","public void testGetSetPrefix()","public void testGetSetPrefix()","1"
"BusinessLogic.Evaluation_Model","fa380309554ce4e0c1efdbec1e3b489444ecbf72","05-07-2022 09:44:44 AM -04:00","StrSubstitutor","public StrSubstitutor setVariablePrefix(final String prefix)","StrSubstitutorTest","public void testGetSetPrefix()
public void testGetSetSuffix()","public void testGetSetPrefix()","public void testGetSetPrefix()","public void testGetSetPrefix()","1"
"BusinessLogic.Evaluation_Model","fa380309554ce4e0c1efdbec1e3b489444ecbf72","05-07-2022 09:44:44 AM -04:00","StrSubstitutor","public StrSubstitutor setVariableSuffixMatcher(final StrMatcher suffixMatcher)","StrSubstitutorTest","public void testGetSetPrefix()
public void testGetSetSuffix()","public void testGetSetSuffix()","public void testGetSetSuffix()","public void testGetSetSuffix()","1"
"BusinessLogic.Evaluation_Model","fa380309554ce4e0c1efdbec1e3b489444ecbf72","05-07-2022 09:44:44 AM -04:00","StrSubstitutor","public StrSubstitutor setVariableSuffix(final String suffix)","StrSubstitutorTest","public void testGetSetPrefix()
public void testGetSetSuffix()","public void testGetSetSuffix()","public void testGetSetSuffix()","public void testGetSetSuffix()","1"
"BusinessLogic.Evaluation_Model","fa380309554ce4e0c1efdbec1e3b489444ecbf72","05-07-2022 09:44:44 AM -04:00","DateUtils","public static boolean isSameDay(final Date date1, final Date date2)","DateUtilsTest","public void testCeil() throws Exception
public void testIsSameDay_CalNotNullNull()
public void testIsSameDay_CalNullNotNull()
public void testIsSameDay_CalNullNull()
public void testIsSameDay_DateNotNullNull()
public void testIsSameDay_DateNullNotNull()
public void testIsSameDay_DateNullNull()
public void testIsSameInstant_CalNotNullNull()
public void testIsSameInstant_CalNullNotNull()
public void testIsSameInstant_CalNullNull()
public void testIsSameInstant_DateNotNullNull()
public void testIsSameInstant_DateNullNotNull()
public void testIsSameInstant_DateNullNull()
public void testIsSameLocalTime_CalNotNullNull()
public void testIsSameLocalTime_CalNullNotNull()
public void testIsSameLocalTime_CalNullNull()
public void testIteratorEx()
public void testParse_NullParsers()
public void testParseDate_Null()
public void testRound() throws Exception
public void testTruncate() throws Exception","public void testIsSameDay_DateNotNullNull()
public void testIsSameDay_DateNullNotNull()
public void testIsSameDay_DateNullNull()","public void testIsSameDay_DateNotNullNull()
public void testIsSameDay_DateNullNotNull()
public void testIsSameDay_DateNullNull()","public void testIsSameDay_DateNotNullNull()
public void testIsSameDay_DateNullNotNull()
public void testIsSameDay_DateNullNull()
public void testIsSameDay_Date()","1, 2, 3"
